,구,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),노선명,역명,승하차인원,휴일여부
249,강남,2019-09-07,26.5,2.8,6.0,2호선,강남,124392,1
250,강남,2019-09-08,25.0,0.0,1.9,2호선,강남,111112,1
251,강남,2019-09-09,25.0,28.25,1.35,2호선,강남,217256,0
252,강남,2019-09-10,24.1,56.5,0.8,2호선,강남,219099,0
253,강남,2019-09-11,24.4,9.0,1.0,2호선,강남,215145,0
254,강남,2019-09-12,21.6,2.0,1.1,2호선,강남,78226,1
255,강남,2019-09-13,23.1,0.0,0.8,2호선,강남,47385,1
256,강남,2019-09-14,22.7,1.0,0.7,2호선,강남,88032,1
257,강남,2019-09-15,24.2,0.0,0.7,2호선,강남,84845,1
258,강남,2019-09-16,24.6,0.0,0.9,2호선,강남,205437,0
259,강남,2019-09-17,23.3,0.0,0.7,2호선,강남,217340,0
260,강남,2019-09-18,21.9,0.0,1.4,2호선,강남,221299,0
261,강남,2019-09-19,20.3,0.0,1.0,2호선,강남,222721,0
262,강남,2019-09-20,20.4,0.0,0.8,2호선,강남,247257,1
263,강남,2019-09-21,20.0,0.0,1.0,2호선,강남,196425,1
264,강남,2019-09-22,18.4,3.5,1.3,2호선,강남,105378,1
265,강남,2019-09-23,20.1,0.0,1.1,2호선,강남,215928,0
266,강남,2019-09-24,19.8,0.0,1.1,2호선,강남,220820,0
267,강남,2019-09-25,20.7,0.0,0.7,2호선,강남,222299,0
268,강남,2019-09-26,22.5,0.0,0.7,2호선,강남,221768,0
269,강남,2019-09-27,22.7,0.0,0.5,2호선,강남,242958,1
270,강남,2019-09-28,23.8,0.0,0.6,2호선,강남,199953,1
271,강남,2019-09-29,22.2,0.0,0.7,2호선,강남,108472,1
272,강남,2019-09-30,22.2,0.0,0.6,2호선,강남,208555,0
273,강남,2019-10-01,22.9,0.0,0.7,2호선,강남,211483,0
274,강남,2019-10-02,22.2,24.0,0.9,2호선,강남,233895,0
275,강남,2019-10-03,22.5,18.0,1.0,2호선,강남,118593,1
276,강남,2019-10-04,22.6,0.0,1.1,2호선,강남,230734,1
277,강남,2019-10-05,19.8,0.0,1.4,2호선,강남,196601,1
278,강남,2019-10-06,18.6,0.0,1.2,2호선,강남,103161,1
279,강남,2019-10-07,15.2,28.0,0.8,2호선,강남,205985,0
280,강남,2019-10-08,15.8,0.0,1.4,2호선,강남,232779,0
281,강남,2019-10-09,14.1,0.0,0.9,2호선,강남,117395,1
282,강남,2019-10-10,15.0,0.0,0.5,2호선,강남,215403,0
283,강남,2019-10-11,19.0,0.0,0.9,2호선,강남,235496,1
284,강남,2019-10-12,18.3,0.0,1.4,2호선,강남,192487,1
285,강남,2019-10-13,17.2,0.0,0.7,2호선,강남,110655,1
286,강남,2019-10-14,15.1,0.0,1.4,2호선,강남,207773,0
287,강남,2019-10-15,14.6,0.0,0.8,2호선,강남,215100,0
288,강남,2019-10-16,15.0,0.0,0.7,2호선,강남,212967,0
289,강남,2019-10-17,15.2,0.0,0.7,2호선,강남,215305,0
290,강남,2019-10-18,17.2,0.0,0.8,2호선,강남,234766,1
291,강남,2019-10-19,16.9,0.0,0.8,2호선,강남,175499,1
292,강남,2019-10-20,15.9,0.0,0.7,2호선,강남,103178,1
293,강남,2019-10-21,16.3,0.0,0.4,2호선,강남,207615,0
294,강남,2019-10-22,17.4,0.0,0.7,2호선,강남,212341,0
295,강남,2019-10-23,17.1,0.0,0.7,2호선,강남,213032,0
296,강남,2019-10-24,19.2,0.0,0.9,2호선,강남,217809,0
297,강남,2019-10-25,17.5,0.0,1.3,2호선,강남,244265,1
298,강남,2019-10-26,10.9,0.0,1.6,2호선,강남,197751,1
299,강남,2019-10-27,11.2,0.0,1.0,2호선,강남,121829,1
300,강남,2019-10-28,13.5,2.5,1.6,2호선,강남,215489,0
301,강남,2019-10-29,13.5,0.5,1.4,2호선,강남,222714,0
302,강남,2019-10-30,11.2,0.0,0.9,2호선,강남,219314,0
303,강남,2019-10-31,15.2,0.0,1.3,2호선,강남,218963,0
304,강남,2019-11-01,14.4,0.0,0.6,2호선,강남,233503,1
305,강남,2019-11-02,14.0,0.0,0.7,2호선,강남,180665,1
306,강남,2019-11-03,15.0,0.0,0.8,2호선,강남,109296,1
307,강남,2019-11-04,13.0,0.0,0.5,2호선,강남,211723,0
308,강남,2019-11-05,12.2,0.0,0.9,2호선,강남,214786,0
309,강남,2019-11-06,11.3,0.0,0.8,2호선,강남,216225,0
310,강남,2019-11-07,10.3,0.0,1.5,2호선,강남,221907,0
311,강남,2019-11-08,7.3,0.0,0.9,2호선,강남,242980,1
312,강남,2019-11-09,9.3,0.0,0.7,2호선,강남,186043,1
313,강남,2019-11-10,10.4,12.5,1.3,2호선,강남,107169,1
314,강남,2019-11-11,11.9,0.5,1.5,2호선,강남,210443,0
315,강남,2019-11-12,9.6,0.0,0.5,2호선,강남,216324,0
316,강남,2019-11-13,8.2,8.0,1.5,2호선,강남,213433,0
317,강남,2019-11-14,2.4,0.0,1.9,2호선,강남,219693,0
318,강남,2019-11-15,6.2,24.0,1.1,2호선,강남,238123,1
319,강남,2019-11-16,6.7,0.0,0.5,2호선,강남,186540,1
320,강남,2019-11-17,8.6,37.0,0.7,2호선,강남,103650,1
321,강남,2019-11-18,5.9,17.0,2.5,2호선,강남,213187,0
322,강남,2019-11-19,2.1,0.0,1.9,2호선,강남,217429,0
323,강남,2019-11-20,1.7,0.0,1.0,2호선,강남,217310,0
324,강남,2019-11-21,4.6,0.0,0.6,2호선,강남,220982,0
325,강남,2019-11-22,8.7,0.0,0.6,2호선,강남,242466,1
326,강남,2019-11-23,11.1,0.0,0.6,2호선,강남,184579,1
327,강남,2019-11-24,10.2,2.5,1.1,2호선,강남,106923,1
328,강남,2019-11-25,3.3,0.0,1.3,2호선,강남,209206,0
329,강남,2019-11-26,7.4,0.0,0.9,2호선,강남,217165,0
330,강남,2019-11-27,4.8,0.0,1.5,2호선,강남,220311,0
331,강남,2019-11-28,5.4,0.0,1.2,2호선,강남,222479,0
332,강남,2019-11-29,3.0,0.0,1.0,2호선,강남,245442,1
333,강남,2019-11-30,5.0,0.0,0.8,2호선,강남,184471,1
334,강남,2019-12-01,5.5,4.0,0.7,2호선,강남,102073,1
335,강남,2019-12-02,1.6,0.0,2.3,2호선,강남,210942,0
336,강남,2019-12-03,1.1,0.5,0.9,2호선,강남,215884,0
337,강남,2019-12-04,3.3,0.5,1.1,2호선,강남,216803,0
338,강남,2019-12-05,-2.6,0.0,2.1,2호선,강남,224464,0
339,강남,2019-12-06,-4.1,0.0,1.1,2호선,강남,244040,1
340,강남,2019-12-07,-1.6,0.0,0.8,2호선,강남,187587,1
341,강남,2019-12-08,-0.5,0.0,0.7,2호선,강남,103797,1
342,강남,2019-12-09,4.1,0.0,1.4,2호선,강남,209880,0
343,강남,2019-12-10,7.7,1.5,0.7,2호선,강남,217355,0
344,강남,2019-12-11,7.1,0.5,2.3,2호선,강남,224138,0
345,강남,2019-12-12,0.4,0.0,1.7,2호선,강남,232539,0
346,강남,2019-12-13,3.1,0.5,1.3,2호선,강남,255328,1
347,강남,2019-12-14,4.0,0.5,1.4,2호선,강남,203283,1
348,강남,2019-12-15,4.5,0.0,0.6,2호선,강남,111103,1
349,강남,2019-12-16,8.4,0.0,0.7,2호선,강남,220102,0
350,강남,2019-12-17,8.7,9.0,1.5,2호선,강남,227409,0
351,강남,2019-12-18,2.5,0.0,1.5,2호선,강남,235544,0
352,강남,2019-12-19,0.9,0.0,1.5,2호선,강남,243948,0
353,강남,2019-12-20,0.3,0.0,1.5,2호선,강남,269685,1
354,강남,2019-12-21,-0.4,0.0,0.9,2호선,강남,211160,1
355,강남,2019-12-22,4.4,0.5,0.8,2호선,강남,122299,1
356,강남,2019-12-23,4.2,2.0,1.0,2호선,강남,244861,0
357,강남,2019-12-24,1.4,0.0,0.6,2호선,강남,242386,0
358,강남,2019-12-25,2.3,0.0,0.7,2호선,강남,118087,1
359,강남,2019-12-26,3.0,1.0,1.5,2호선,강남,239696,0
360,강남,2019-12-27,-0.5,0.0,1.5,2호선,강남,256147,1
361,강남,2019-12-28,1.6,0.0,1.1,2호선,강남,191564,1
362,강남,2019-12-29,4.1,0.5,1.0,2호선,강남,118033,1
363,강남,2019-12-30,3.7,0.5,1.6,2호선,강남,237298,0
364,강남,2019-12-31,-6.3,0.0,2.3,2호선,강남,210773,1
365,강남,2020-01-01,-1.7,0.0,0.9,2호선,강남,75999,1
366,강남,2020-01-02,2.3,0.0,1.0,2호선,강남,232083,0
367,강남,2020-01-03,0.9,0.0,1.1,2호선,강남,258547,1
368,강남,2020-01-04,2.1,0.0,1.1,2호선,강남,180590,1
